#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18885
#Date Time: 2016-12-13 22:29::03.591

Time (s),Channel 1 (V),Channel 2 (V)
-0.0050000000000000001,2.5214204950339449,1.9383304215317427
-0.0049987499999999997,2.5197419291561816,1.9383304215317427
-0.0049975000000000002,2.5207490686828393,1.9373246399208315
-0.0049962499999999998,2.5207490686828393,1.9393362031426542
-0.0049950000000000003,2.5220919213850497,1.939000942605684
-0.0049937499999999999,2.5230990609117079,1.9410125058275063
-0.0049925000000000004,2.5224276345606031,1.9410125058275063
-0.00499125,2.5230990609117079,1.9413477663644767
-0.0049899999999999996,2.5241062004383656,1.9423535479753886
-0.0049887500000000001,2.5237704872628131,1.9436945901232696
-0.0049874999999999997,2.5247776267894713,1.9436945901232696
-0.0049862500000000002,2.5254490531405764,1.9450356322711513
-0.0049849999999999998,2.5244419136139187,1.9450356322711513
-0.0049837500000000003,2.525449053140576,1.9460414138820621
-0.0049824999999999999,2.5267919058427868,1.9473824560299442
-0.0049812499999999996,2.5257847663161299,1.9463766744190338
-0.0049800000000000001,2.5281347585449976,1.9483882376408554
-0.0049787499999999997,2.5274633321938924,1.9490587587147967
-0.0049775000000000002,2.527799045369445,1.9500645403257075
-0.0049762499999999998,2.5288061848961028,1.9507350613996486
-0.0049750000000000003,2.527799045369445,1.9507350613996486
-0.0049737499999999999,2.5288061848961028,1.9520761035475303
-0.0049725000000000004,2.5288061848961028,1.9524113640845004
-0.00497125,2.5301490375983131,1.9537524062323823
-0.0049699999999999996,2.529813324422761,1.9530818851584422
-0.0049687500000000001,2.5304847507738657,1.9547581878432938
-0.0049674999999999997,2.530149037598314,1.9554287089172351
-0.0049662500000000002,2.5321633166516291,1.9564344905281459
-0.0049649999999999998,2.5318276034760765,1.9571050116020867
-0.0049637500000000003,2.5328347430027343,1.9584460537499684
-0.0049624999999999999,2.5314918903005239,1.9574402721390571
-0.0049612500000000004,2.5335061693538385,1.9597870958978489
-0.00496,2.5338418825293925,1.9604576169717909
-0.0049587499999999996,2.5331704561782882,1.9591165748239108
-0.0049575000000000001,2.5361918747582606,1.9624691801936134
-0.0049562499999999997,2.5348490220560502,1.9631397012675542
-0.0049550000000000002,2.5348490220560502,1.9634749618045246
-0.0049537499999999998,2.5365275879338132,1.9648160039524063
-0.0049525000000000003,2.5361918747582606,1.9654865250263469
-0.0049512499999999999,2.5365275879338132,1.9661570461002882
-0.0049500000000000004,2.5371990142849183,1.9661570461002882
-0.00494875,2.537870440636024,1.9671628277111994
-0.0049474999999999996,2.5365275879338132,1.9678333487851407
-0.0049462500000000001,2.5368633011093662,1.9688391303960515
-0.0049449999999999997,2.5388775801626817,1.9695096514699926
-0.0049437500000000002,2.5388775801626817,1.9705154330809038
-0.0049424999999999998,2.5385418669871291,1.9711859541548447
-0.0049412500000000003,2.541227572391549,1.9725269963027257
-0.0049399999999999999,2.5392132933382343,1.9728622568396967
-0.0049387500000000004,2.5408918592159968,1.9742032989875777
-0.0049375,2.5405561460404451,1.9742032989875784
-0.0049362499999999997,2.5408918592159981,1.9758796016724305
-0.0049350000000000002,2.5418989987426555,1.9758796016724305
-0.0049337499999999998,2.5412275723915503,1.9782264254312234
-0.0049325000000000003,2.5429061382693132,1.9788969465051642
-0.0049312499999999999,2.542234711918208,1.9795674675791051
-0.0049300000000000004,2.5439132777959705,1.9795674675791051
-0.00492875,2.5445847041470766,1.9809085097269867
-0.0049274999999999996,2.5445847041470766,1.9812437702639578
-0.0049262500000000001,2.5445847041470766,1.9822495518748686
-0.0049249999999999997,2.5452561304981818,1.9829200729488103
-0.0049237500000000002,2.5452561304981818,1.9842611150966913
-0.0049224999999999998,2.5455918436737344,1.9852668967076026
-0.0049212500000000003,2.5462632700248395,1.9869431993924547
-0.0049199999999999999,2.5479418359026029,1.9869431993924547
-0.0049187500000000004,2.5479418359026029,1.9872784599294249
-0.0049175,2.5469346963759452,1.9892900231512476
-0.0049162499999999996,2.5476061227270508,1.9896252836882182
-0.0049150000000000001,2.5486132622537081,1.9902958047621588
-0.0049137499999999997,2.5492846886048133,1.9919721074470111
-0.0049125000000000002,2.5492846886048133,1.9923073679839813
-0.0049112499999999998,2.5492846886048133,1.9943189312058038
-0.0049100000000000003,2.5499561149559185,1.9943189312058038
-0.0049087499999999999,2.5502918281314715,1.9963304944276263
-0.0049075000000000004,2.5502918281314715,1.9970010155015669
-0.00490625,2.5519703940092344,1.9970010155015672
-0.0049049999999999996,2.550627541307025,1.9993478392603601
-0.0049037500000000001,2.552306107184787,1.9993478392603601
-0.0049024999999999997,2.552306107184787,2.0003536208712718
-0.0049012500000000002,2.552306107184787,2.0003536208712718
-0.0048999999999999998,2.5536489598869978,2.0027004446300647
-0.0048987500000000003,2.5523061071847875,2.0037062262409755
-0.0048974999999999999,2.5546560994136556,2.0047120078518872
-0.0048962500000000004,2.554320386238103,2.0050472683888576
-0.004895,2.5556632389403133,2.0063883105367393
-0.0048937499999999997,2.5553275257647607,2.007394092147651
-0.0048925000000000001,2.5556632389403133,2.0083998737585618
-0.0048912499999999998,2.5556632389403133,2.0087351342955322
-0.0048900000000000002,2.5546560994136556,2.0097409159064434
-0.0048887499999999999,2.5570060916425241,2.0117524791282659
-0.0048875000000000004,2.5559989521158664,2.0120877396652364
-0.00488625,2.5559989521158659,2.0134287818131185
-0.0048849999999999996,2.558348944344734,2.0144345634240297
-0.0048837500000000001,2.5573418048180767,2.0140993028870593
-0.0048824999999999997,2.5600275102224974,2.017116647719793
