#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18885
#Date Time: 2016-12-07 13:45::27.912

Time (s),Channel 1 (V),Channel 2 (V)
-0.0050000000000000001,2.4438707514812861,2.4291518476564464
-0.0049987499999999997,2.4442064646568387,2.430828150341299
-0.0049975000000000002,2.4431993251301809,2.4304928898043281
-0.0049962499999999998,2.4445421778323917,2.430828150341299
-0.0049950000000000003,2.4445421778323917,2.4304928898043281
-0.0049937499999999999,2.4445421778323917,2.432504453026151
-0.0049925000000000004,2.4458850305346016,2.4301576292673586
-0.00499125,2.445885030534602,2.4328397135631215
-0.0049899999999999996,2.4448778910079452,2.4311634108782694
-0.0049887500000000001,2.4465564568857072,2.430828150341299
-0.0049874999999999997,2.4465564568857072,2.4318339319522102
-0.0049862500000000002,2.445885030534602,2.4321691924891806
-0.0049849999999999998,2.4455493173590495,2.4318339319522102
-0.0049837500000000003,2.445885030534602,2.4325044530261506
-0.0049824999999999999,2.447899309587918,2.4321691924891806
-0.0049812499999999996,2.447563596412365,2.430492889804329
-0.0049800000000000001,2.447563596412365,2.4321691924891806
-0.0049787499999999997,2.4478993095879185,2.4318339319522102
-0.0049775000000000002,2.4485707359390232,2.4321691924891806
-0.0049762499999999998,2.4492421622901284,2.432504453026151
-0.0049750000000000003,2.4499135886412335,2.4321691924891806
-0.0049737499999999999,2.4485707359390232,2.4318339319522102
-0.0049725000000000004,2.4505850149923378,2.4335102346370614
-0.00497125,2.449577875465681,2.4341807557110031
-0.0049699999999999996,2.451592154518996,2.4318339319522111
-0.0049687500000000001,2.449577875465681,2.4338454951740327
-0.0049674999999999997,2.4509207281678913,2.4331749741000919
-0.0049662500000000002,2.4512564413434443,2.4335102346370623
-0.0049649999999999998,2.4512564413434443,2.4335102346370623
-0.0049637500000000003,2.4512564413434443,2.4335102346370623
-0.0049624999999999999,2.4525992940456547,2.4341807557110031
-0.0049612500000000004,2.4509207281678922,2.4341807557110031
-0.00496,2.4519278676945495,2.4335102346370623
-0.0049587499999999996,2.4532707203967599,2.434851276784944
-0.0049575000000000001,2.4532707203967599,2.4351865373219144
-0.0049562499999999997,2.4536064335723125,2.4338454951740327
-0.0049550000000000002,2.453942146747865,2.4345160162479735
-0.0049537499999999998,2.4542778599234181,2.4341807557110031
-0.0049525000000000003,2.453942146747865,2.4351865373219139
-0.0049512499999999999,2.4542778599234181,2.4351865373219144
-0.0049500000000000004,2.4546135730989707,2.4355217978588848
-0.00494875,2.455956425801181,2.4351865373219144
-0.0049474999999999996,2.4562921389767327,2.4358570583958556
-0.0049462500000000001,2.453942146747865,2.436527579469796
-0.0049449999999999997,2.455956425801181,2.436527579469796
-0.0049437500000000002,2.4556207126256284,2.4358570583958552
-0.0049424999999999998,2.4576349916789444,2.4368628400067665
-0.0049412500000000003,2.4556207126256293,2.4368628400067665
-0.0049399999999999999,2.4569635653278388,2.4361923189328256
-0.0049387500000000004,2.4576349916789439,2.4358570583958552
-0.0049375,2.457970704854497,2.4361923189328256
-0.0049362499999999997,2.4572992785033927,2.4368628400067665
-0.0049350000000000002,2.4593135575567073,2.436527579469796
-0.0049337499999999998,2.4589778443811547,2.4371981005437369
-0.0049325000000000003,2.4589778443811547,2.4358570583958552
-0.0049312499999999999,2.4599849839078125,2.4378686216176777
-0.0049300000000000004,2.4586421312056026,2.4375333610807073
-0.00492875,2.4599849839078125,2.436527579469796
-0.0049274999999999996,2.4609921234344707,2.4388744032285885
-0.0049262500000000001,2.4606564102589181,2.4375333610807073
-0.0049249999999999997,2.4603206970833655,2.4385391426916185
-0.0049237500000000002,2.4613278366100233,2.4385391426916185
-0.0049224999999999998,2.4609921234344707,2.4375333610807073
-0.0049212500000000003,2.4616635497855759,2.4382038821546481
-0.0049199999999999999,2.4616635497855759,2.4385391426916185
-0.0049187500000000004,2.4613278366100233,2.4385391426916185
-0.0049175,2.4623349761366811,2.4392096637655594
-0.0049162499999999996,2.4619992629611289,2.4388744032285894
-0.0049150000000000001,2.4630064024877862,2.4395449243025298
-0.0049137499999999997,2.4630064024877876,2.4395449243025298
-0.0049125000000000002,2.4656921078922074,2.4395449243025298
-0.0049112499999999998,2.4626706893122337,2.4392096637655594
-0.0049100000000000003,2.4653563947166535,2.4405507059134406
-0.0049087499999999999,2.4656921078922074,2.4395449243025298
-0.0049075000000000004,2.4646849683655501,2.4402154453764702
-0.00490625,2.4666992474188651,2.4402154453764706
-0.0049049999999999996,2.4643492551899979,2.4398801848395002
-0.0049037500000000001,2.4663635342433126,2.4395449243025298
-0.0049024999999999997,2.4670349605944182,2.4408859664504114
-0.0049012500000000002,2.46602782106776,2.440550705913441
-0.0048999999999999998,2.4663635342433126,2.4395449243025298
-0.0048987500000000003,2.4670349605944177,2.440885966450411
-0.0048974999999999999,2.4656921078922074,2.440550705913441
-0.0048962500000000004,2.4683778132966272,2.4418917480613223
-0.004895,2.4687135264721811,2.4415564875243523
-0.0048937499999999997,2.4690492396477333,2.4418917480613227
-0.0048925000000000001,2.4683778132966285,2.4422270085982931
-0.0048912499999999998,2.4690492396477337,2.4425622691352635
-0.0048900000000000002,2.4700563791743919,2.4415564875243523
-0.0048887499999999999,2.4703920923499445,2.4415564875243523
-0.0048875000000000004,2.4690492396477342,2.4418917480613227
-0.00488625,2.4707278055254971,2.4425622691352635
-0.0048849999999999996,2.4693849528232876,2.4418917480613231
-0.0048837500000000001,2.47240637140326,2.4428975296722339
-0.0048824999999999997,2.4700563791743928,2.442562269135264
